xi-location	omega-scale	alpha-shape	nu-df	MCMCtree-calib	MCMCtree-calib-rounded	95%CI	MCMCtree-hardbounds
oxalidales	0.875095918861697	0.0856243099555013	509.428094917037	4.11456064018608	ST(0.875095918861697,0.0856243099555013,509.428094917037,4.11456064018608)	'ST(0.875,0.086,509.428,4.115)'	q2.5%-0.88|q97.5%-1.18	B(0.88,1.18,1e-300,1e-300)
pandanales	0.998897345937527	0.177559533073977	15.1793176160403	3.41621615379575	ST(0.998897345937527,0.177559533073977,15.1793176160403,3.41621615379575)	'ST(0.999,0.178,15.179,3.416)'	q2.5%-1|q97.5%-1.69	B(1,1.69,1e-300,1e-300)
piperales	1.03457029521988	0.190440944845329	20.0900898793851	3.3310670591561	ST(1.03457029521988,0.190440944845329,20.0900898793851,3.3310670591561)	'ST(1.035,0.19,20.09,3.331)'	q2.5%-1.04|q97.5%-1.78	B(1.04,1.78,1e-300,1e-300)
poales	0.725413125452171	0.07300237227172	152.759500675081	7.45860266509576	ST(0.725413125452171,0.07300237227172,152.759500675081,7.45860266509576)	'ST(0.725,0.073,152.76,7.459)'	q2.5%-0.73|q97.5%-0.93	B(0.73,0.93,1e-300,1e-300)
proteales	1.15002846571524	0.0245589153534922	325.745973384852	3.5527416796817	ST(1.15002846571524,0.0245589153534922,325.745973384852,3.5527416796817)	'ST(1.15,0.025,325.746,3.553)'	q2.5%-1.15|q97.5%-1.24	B(1.15,1.24,1e-300,1e-300)
ranunculales	1.15012250453721	0.0764764530304293	574.124717322049	2.30781996900471	ST(1.15012250453721,0.0764764530304293,574.124717322049,2.30781996900471)	'ST(1.15,0.076,574.125,2.308)'	q2.5%-1.15|q97.5%-1.56	B(1.15,1.56,1e-300,1e-300)
rosales	1.02502686490143	0.0341433605326319	462.918786721953	2.09899490207211	ST(1.02502686490143,0.0341433605326319,462.918786721953,2.09899490207211)	'ST(1.025,0.034,462.919,2.099)'	q2.5%-1.03|q97.5%-1.22	B(1.03,1.22,1e-300,1e-300)
santalales	0.736228046293371	0.107520194727051	10.8590279315264	3.44946793938328	ST(0.736228046293371,0.107520194727051,10.8590279315264,3.44946793938328)	'ST(0.736,0.108,10.859,3.449)'	q2.5%-0.73|q97.5%-1.15	B(0.73,1.15,1e-300,1e-300)
sapindales	1.00002799571389	0.0402129911526503	296.337951952225	2.88171071819666	ST(1.00002799571389,0.0402129911526503,296.337951952225,2.88171071819666)	'ST(1,0.04,296.338,2.882)'	q2.5%-1|q97.5%-1.18	B(1,1.18,1e-300,1e-300)
saxifragales	1.05001425811087	0.0504086431802327	436.515137589441	2.5208898648727	ST(1.05001425811087,0.0504086431802327,436.515137589441,2.5208898648727)	'ST(1.05,0.05,436.515,2.521)'	q2.5%-1.05|q97.5%-1.29	B(1.05,1.29,1e-300,1e-300)
solanales	0.550351897229106	0.109567420702732	279.880084359657	3.00642546518158	ST(0.550351897229106,0.109567420702732,279.880084359657,3.00642546518158)	'ST(0.55,0.11,279.88,3.006)'	q2.5%-0.56|q97.5%-1.02	B(0.56,1.02,1e-300,1e-300)
zingiberales	0.893558534605832	0.0758133233999657	6.69889058996186	2.76819364114322	ST(0.893558534605832,0.0758133233999657,6.69889058996186,2.76819364114322)	'ST(0.894,0.076,6.699,2.768)'	q2.5%-0.89|q97.5%-1.23	B(0.89,1.23,1e-300,1e-300)
