xi-location	omega-scale	alpha-shape	nu-df	MCMCtree-calib	MCMCtree-calib-rounded	95%CI	MCMCtree-hardbounds
elaeocarpaceae	0.700643220080605	0.110236320231596	139.777700887933	5.26395752766905	ST(0.700643220080605,0.110236320231596,139.777700887933,5.26395752766905)	'ST(0.701,0.11,139.778,5.264)'	q2.5%-0.71|q97.5%-1.05	B(0.71,1.05,1e-300,1e-300)
elatinaceae	0.224315676910755	0.0706954205653595	8.81885043879983	2.2270506198641	ST(0.224315676910755,0.0706954205653595,8.81885043879983,2.2270506198641)	'ST(0.224,0.071,8.819,2.227)'	q2.5%-0.22|q97.5%-0.6	B(0.22,0.6,1e-300,1e-300)
euphorbiaceae	0.72571193850488	0.0386482417571047	16.220493715982	3.49456717317263	ST(0.72571193850488,0.0386482417571047,16.220493715982,3.49456717317263)	'ST(0.726,0.039,16.22,3.495)'	q2.5%-0.73|q97.5%-0.86	B(0.73,0.86,1e-300,1e-300)
fabaceae	0.70012352534118	0.0485726415606032	154.092138652693	2.51227574709375	ST(0.70012352534118,0.0485726415606032,154.092138652693,2.51227574709375)	'ST(0.7,0.049,154.092,2.512)'	q2.5%-0.7|q97.5%-0.94	B(0.7,0.94,1e-300,1e-300)
fagaceae	1.00023295500564	0.104998118861224	120.132398878605	7.31675564868767	ST(1.00023295500564,0.104998118861224,120.132398878605,7.31675564868767)	'ST(1,0.105,120.132,7.317)'	q2.5%-1|q97.5%-1.3	B(1,1.3,1e-300,1e-300)
haloragaceae	0.775304704719408	0.126324508275127	21.3657381965247	3.1412366502842	ST(0.775304704719408,0.126324508275127,21.3657381965247,3.1412366502842)	'ST(0.775,0.126,21.366,3.141)'	q2.5%-0.78|q97.5%-1.28	B(0.78,1.28,1e-300,1e-300)
hamamelidaceae	0.950054515404701	0.0869468759221594	1061.88032946839	3.90681960656144	ST(0.950054515404701,0.0869468759221594,1061.88032946839,3.90681960656144)	'ST(0.95,0.087,1061.88,3.907)'	q2.5%-0.95|q97.5%-1.26	B(0.95,1.26,1e-300,1e-300)
humiriaceae	0.400592347932869	0.104126550684322	18.566908082451	2.64013065961195	ST(0.400592347932869,0.104126550684322,18.566908082451,2.64013065961195)	'ST(0.401,0.104,18.567,2.64)'	q2.5%-0.4|q97.5%-0.87	B(0.4,0.87,1e-300,1e-300)
hypericaceae	0.40053709309632	0.0478324838564959	17.9917009411423	2.64757878945001	ST(0.40053709309632,0.0478324838564959,17.9917009411423,2.64757878945001)	'ST(0.401,0.048,17.992,2.648)'	q2.5%-0.4|q97.5%-0.61	B(0.4,0.61,1e-300,1e-300)
lardizabalaceae	1.17707942922061	0.390654158347686	41.9351536158317	4.18762999194469	ST(1.17707942922061,0.390654158347686,41.9351536158317,4.18762999194469)	'ST(1.177,0.391,41.935,4.188)'	q2.5%-1.19|q97.5%-2.53	B(1.19,2.53,1e-300,1e-300)
lauraceae	1.12143202611357	0.0870085328147656	8.5512334504204	2.26004435396288	ST(1.12143202611357,0.0870085328147656,8.5512334504204,2.26004435396288)	'ST(1.121,0.087,8.551,2.26)'	q2.5%-1.12|q97.5%-1.59	B(1.12,1.59,1e-300,1e-300)
magnoliaceae	1.07445632975415	0.053758312653235	5.96955276665484	2.84801644068081	ST(1.07445632975415,0.053758312653235,5.96955276665484,2.84801644068081)	'ST(1.074,0.054,5.97,2.848)'	q2.5%-1.07|q97.5%-1.3	B(1.07,1.3,1e-300,1e-300)
malpighiaceae	0.700491751345528	0.178000278071361	108.856099942954	2.93449890205675	ST(0.700491751345528,0.178000278071361,108.856099942954,2.93449890205675)	'ST(0.7,0.178,108.856,2.934)'	q2.5%-0.71|q97.5%-1.45	B(0.71,1.45,1e-300,1e-300)
malvaceae	0.700029151363821	0.0457964480315215	649.782113801802	6.26662015776056	ST(0.700029151363821,0.0457964480315215,649.782113801802,6.26662015776056)	'ST(0.7,0.046,649.782,6.267)'	q2.5%-0.7|q97.5%-0.84	B(0.7,0.84,1e-300,1e-300)
menispermaceae	0.925493023287182	0.036058207165783	4.38245298335524	2.83139703016442	ST(0.925493023287182,0.036058207165783,4.38245298335524,2.83139703016442)	'ST(0.925,0.036,4.382,2.831)'	q2.5%-0.92|q97.5%-1.07	B(0.92,1.07,1e-300,1e-300)
menyanthaceae	0.350334785707187	0.0455011214551122	6.3734072659496	2.28671979050194	ST(0.350334785707187,0.0455011214551122,6.3734072659496,2.28671979050194)	'ST(0.35,0.046,6.373,2.287)'	q2.5%-0.35|q97.5%-0.57	B(0.35,0.57,1e-300,1e-300)
monimiaceae	0.832671141840034	0.386177110809959	47.39151468168	3.72123879434511	ST(0.832671141840034,0.386177110809959,47.39151468168,3.72123879434511)	'ST(0.833,0.386,47.392,3.721)'	q2.5%-0.85|q97.5%-2.27	B(0.85,2.27,1e-300,1e-300)
myristicaceae	0.651131340604901	0.26028991576729	86.5680280319459	3.04322585856727	ST(0.651131340604901,0.26028991576729,86.5680280319459,3.04322585856727)	'ST(0.651,0.26,86.568,3.043)'	q2.5%-0.66|q97.5%-1.72	B(0.66,1.72,1e-300,1e-300)
myrtaceae	0.700022872918538	0.0770826364955815	1175.37346736552	8.24223392375844	ST(0.700022872918538,0.0770826364955815,1175.37346736552,8.24223392375844)	'ST(0.7,0.077,1175.373,8.242)'	q2.5%-0.7|q97.5%-0.91	B(0.7,0.91,1e-300,1e-300)
nyctaginaceae	0.175121961458471	0.0978467316861117	353.50018631822	3.32619803806819	ST(0.175121961458471,0.0978467316861117,353.50018631822,3.32619803806819)	'ST(0.175,0.098,353.5,3.326)'	q2.5%-0.18|q97.5%-0.56	B(0.18,0.56,1e-300,1e-300)
ochnaceae	0.701797919235597	0.286400202052305	89.8958668668333	3.48436319832198	ST(0.701797919235597,0.286400202052305,89.8958668668333,3.48436319832198)	'ST(0.702,0.286,89.896,3.484)'	q2.5%-0.71|q97.5%-1.79	B(0.71,1.79,1e-300,1e-300)
orchidaceae	0.847426843598311	0.630890800572264	31.1086088980037	9.44379184701404	ST(0.847426843598311,0.630890800572264,31.1086088980037,9.44379184701404)	'ST(0.847,0.631,31.109,9.444)'	q2.5%-0.86|q97.5%-2.61	B(0.86,2.61,1e-300,1e-300)
passifloraceae	0.450586689629043	0.230825436197941	147.503971794904	2.86328138827708	ST(0.450586689629043,0.230825436197941,147.503971794904,2.86328138827708)	'ST(0.451,0.231,147.504,2.863)'	q2.5%-0.46|q97.5%-1.45	B(0.46,1.45,1e-300,1e-300)
phyllanthaceae	0.70031904814776	0.12006411291792	90.4080959010455	2.55108030911138	ST(0.70031904814776,0.12006411291792,90.4080959010455,2.55108030911138)	'ST(0.7,0.12,90.408,2.551)'	q2.5%-0.7|q97.5%-1.26	B(0.7,1.26,1e-300,1e-300)
piperaceae	0.725729982163845	0.359625591019416	259.890247190164	3.49903403872963	ST(0.725729982163845,0.359625591019416,259.890247190164,3.49903403872963)	'ST(0.726,0.36,259.89,3.499)'	q2.5%-0.74|q97.5%-2.11	B(0.74,2.11,1e-300,1e-300)
pittosporaceae	0.425609478556314	0.14371102233269	39.5176849958602	2.45722775006492	ST(0.425609478556314,0.14371102233269,39.5176849958602,2.45722775006492)	'ST(0.426,0.144,39.518,2.457)'	q2.5%-0.43|q97.5%-1.11	B(0.43,1.11,1e-300,1e-300)
poaceae	0.700130030839582	0.111869920358632	243.296436093122	3.27220904575842	ST(0.700130030839582,0.111869920358632,243.296436093122,3.27220904575842)	'ST(0.7,0.112,243.296,3.272)'	q2.5%-0.7|q97.5%-1.14	B(0.7,1.14,1e-300,1e-300)
polygonaceae	0.350530269027934	0.0456998387058268	18.638114745447	2.30736492234719	ST(0.350530269027934,0.0456998387058268,18.638114745447,2.30736492234719)	'ST(0.351,0.046,18.638,2.307)'	q2.5%-0.35|q97.5%-0.57	B(0.35,0.57,1e-300,1e-300)
