time	angiosperms
2.5	40
5	46
7.5	45
10	47
12.5	50
15	44
17.5	47
20	44
22.5	46
25	45
27.5	42
30	39
32.5	44
35	45
37.5	31
40	39
42.5	40
45	34
47.5	34
50	36
52.5	32
55	30
57.5	38
60	29
62.5	24
65	42
67.5	35
70	40
72.5	64
75	19
77.5	17
80	19
82.5	14
85	50
87.5	25
90	35
92.5	26
95	23
97.5	33
100	34
102.5	33
105	19
107.5	17
110	12
112.5	9
115	20
117.5	3
120	6
122.5	3
125	1
127.5	6
130	1
132.5	3
135	3
137.5	0
140	1
142.5	0
145	0
