time	angiosperms
2.5	37
5	47
7.5	44
10	46
12.5	48
15	47
17.5	50
20	43
22.5	46
25	44
27.5	41
30	41
32.5	41
35	45
37.5	33
40	35
42.5	38
45	37
47.5	39
50	32
52.5	33
55	33
57.5	36
60	27
62.5	24
65	39
67.5	29
70	39
72.5	67
75	19
77.5	13
80	17
82.5	16
85	54
87.5	24
90	35
92.5	22
95	29
97.5	26
100	32
102.5	34
105	21
107.5	12
110	10
112.5	12
115	27
117.5	4
120	2
122.5	5
125	2
127.5	4
130	2
132.5	4
135	2
137.5	0
140	0
142.5	0
145	0
