time	angiosperms
2.5	36
5	49
7.5	46
10	41
12.5	49
15	49
17.5	47
20	50
22.5	46
25	41
27.5	44
30	42
32.5	38
35	45
37.5	31
40	36
42.5	32
45	37
47.5	38
50	37
52.5	30
55	36
57.5	32
60	27
62.5	29
65	37
67.5	40
70	36
72.5	67
75	14
77.5	16
80	19
82.5	13
85	45
87.5	29
90	35
92.5	22
95	28
97.5	34
100	29
102.5	24
105	14
107.5	16
110	17
112.5	14
115	24
117.5	3
120	3
122.5	3
125	6
127.5	3
130	2
132.5	3
135	1
137.5	0
140	0
142.5	0
145	0
