time	angiosperms
2.5	36
5	49
7.5	47
10	41
12.5	44
15	46
17.5	49
20	45
22.5	49
25	44
27.5	43
30	41
32.5	39
35	46
37.5	31
40	33
42.5	36
45	37
47.5	38
50	38
52.5	34
55	29
57.5	34
60	26
62.5	23
65	39
67.5	36
70	36
72.5	60
75	18
77.5	20
80	15
82.5	14
85	47
87.5	29
90	36
92.5	21
95	24
97.5	30
100	30
102.5	28
105	20
107.5	14
110	16
112.5	12
115	26
117.5	5
120	2
122.5	5
125	2
127.5	3
130	3
132.5	4
135	2
137.5	0
140	0
142.5	0
145	0
