time	angiosperms
2.5	36
5	49
7.5	46
10	43
12.5	49
15	48
17.5	49
20	49
22.5	46
25	42
27.5	39
30	38
32.5	42
35	47
37.5	32
40	34
42.5	39
45	38
47.5	36
50	32
52.5	31
55	34
57.5	30
60	27
62.5	28
65	35
67.5	32
70	33
72.5	67
75	13
77.5	19
80	17
82.5	19
85	52
87.5	25
90	34
92.5	25
95	22
97.5	31
100	31
102.5	33
105	17
107.5	12
110	11
112.5	18
115	22
117.5	4
120	8
122.5	2
125	2
127.5	2
130	1
132.5	5
135	2
137.5	0
140	0
142.5	0
145	0
