time	angiosperms
2.5	37
5	47
7.5	44
10	47
12.5	48
15	47
17.5	48
20	50
22.5	46
25	45
27.5	43
30	40
32.5	40
35	46
37.5	31
40	40
42.5	40
45	36
47.5	36
50	29
52.5	32
55	35
57.5	33
60	27
62.5	28
65	42
67.5	31
70	35
72.5	65
75	15
77.5	23
80	24
82.5	14
85	50
87.5	21
90	40
92.5	16
95	25
97.5	28
100	33
102.5	31
105	17
107.5	19
110	11
112.5	14
115	24
117.5	6
120	2
122.5	4
125	6
127.5	2
130	2
132.5	4
135	2
137.5	0
140	0
142.5	0
145	0
