family	likelihood	Nobs	Nfossils	root_obs	ext_obs	DA_count	root_est	root_m	root_M	root_est_mode	ext_est	ext_m	ext_M	ext_est_mode	q_est	q_m	q_M	q_est_mode	a_est	a_m	a_M	a_est_mode	sig2_est	sig2_m	sig2_M	sig2_est_mode
pittosporaceae	-11.0746835188067	245	4	40	5	1000	59.4890301569354	42.4469495206994	96.9608841159422	45.9271564330991	0	0	0	-0.000619866878336928	0.000836219214977379	8.77939035505655e-08	0.00235496127017016	0.000161294015212235	2.52236147764097	0.000145334725783208	6.51434006234643	0.537098394014567	6.76233261244103	4.18840429970714	9.00810806760079	7.22598331551678	
poaceae	-51.2131372283399	12000	39	67.5	5	999.999555565432	81.705020313366	69.9935731151951	104.486819832213	73.3235941663256	0	0	0	-0.000619866878336928	8.61658852153055e-05	3.8138218290701e-07	0.000211185656974971	3.83975158455453e-05	2.06742451517984	0.00249827490005777	3.9866933156449	1.82324953918752	11.2100312898481	8.72183565462555	13.2669061167758	11.6752340942427	
polygonaceae	-29.0933158290953	1200	33	32.5	2.5	999.999955556543	40.5148920229147	35.0001713932091	52.8028756781093	36.5211571620638	0	0	0	-0.000619866878336928	0.00169663547173128	5.94863519492174e-07	0.00397532822835452	0.000708906548903644	3.70676173108109	4.4769799671468e-05	8.01310653422382	2.6587558060126	8.65982747120876	6.12809373624447	10.8791550017298	9.27339187453717	
primulaceae	-34.6236476674733	2790	23	67.5	5	999.995200106664	83.8365012954488	70.0001075003789	112.239999356684	72.9561082377259	0	0	0	-0.000619866878336928	0.000202862211857566	2.63124120146581e-07	0.000571698318745814	3.98210757184534e-05	2.35811903600081	7.96251475068122e-05	4.73130915455928	1.89866738341085	9.68476205496098	7.20292351372449	11.6425282498232	10.1826498801243	
proteaceae	-60.8940317650425	1660	50	62.5	2.5	999.964111908624	69.3637499038738	64.9855899817106	78.9026882477173	66.0229345696039	0	0	0	-0.000619866878336928	0.00151730885277255	0.000272512521520234	0.00279647732595984	0.0014072965240253	1.08108873505678	5.35681787287301e-05	2.75681859546795	0.212795410344847	10.3804284383262	8.98373694041474	11.6004609886584	10.5818199502939	
ranunculaceae	-57.4050760575861	2346	45	62.5	5	999.911668629586	75.8519761429163	65.0003691924887	97.9396451626899	66.7987785204297	0	0	0	-0.000619866878336928	0.000222100854627028	3.32378547786929e-08	0.000743461470996887	3.61116524317862e-05	4.44701197635298	1.4031639632998	7.50167850589682	4.29279578419182	9.9725308957485	7.89770574739489	11.8098432165445	10.3093111175716	
rhamnaceae	-123.272025275855	950	159	75	2.5	999.202617719606	82.3910788189113	75.0007425110488	93.3029981532734	78.5235860633472	0	0	0	-0.000619866878336928	0.00201160919910142	1.10484019036776e-05	0.00553318479999382	0.000835358977185019	2.42415569506025	0.296422518306086	4.42436607656091	2.46110820831973	10.3324833564816	8.86497934947455	11.6017729455346	10.5931922997131	
rhizophoraceae	-25.2207630092597	147	12	52.5	2.5	962.751116641852	67.4450341622012	55.0003043198443	91.8195186456625	59.0968398200063	0	0	0	-0.000619866878336928	0.00301916092124509	5.67284959633086e-06	0.00721541028662559	0.00161317139529052	1.58529617417969	2.48689380162592e-06	4.05921582754848	0.288327459426431	6.39181395007316	3.99129108676222	8.51035048352788	6.74582610948345	
salicaceae	-150.933160648612	1220	284	67.5	2.5	942.194440123553	74.4622541339113	70.0000241515967	82.8915110341191	71.0333936556578	0	0	0	-0.000619866878336928	0.00327959402271877	0.000120847163184385	0.00854652043331578	0.00162196647107737	2.33629007628563	0.336759123361758	4.31075880929402	2.33621916410378	10.9758990864972	9.61479318370429	12.1543248377049	11.1662108271455	
saururaceae	-17.7922470794388	6	9	45	5	1000	57.06224501675	45.0008069078901	77.7867279155254	49.4152193437011	0	0	0	-0.000619866878336928	0.0240957682589719	2.69503464989053e-05	0.0733424227275211	0.00730883775923661	2.00336691029354	0.000194464262413957	5.14473476201955	0.3933400375664	2.79380703425389	-0.164705467319443	5.37104489823638	3.31096692527637	
schisandraceae	-29.3162263182458	85	18	45	5	1000	54.7817788086561	47.186757495733	70.2155534219771	48.8562070351111	0	0	0	-0.000619866878336928	0.00727647240812884	0.000224386786062304	0.0162103677234476	0.00472287670583529	1.31489704894607	3.01254153578512e-05	3.56668473566481	0.245477491961809	6.33377273112444	4.14022224117003	8.27807899080319	6.71678141616115	
torricelliaceae	-10.8363358937255	10	3	57.5	20	999.990159901599	86.5214136979249	57.6105983999134	143.320085302382	66.101692749511	0	0	0	-0.00062293969076338	0.00420529345996679	2.51108335568987e-06	0.0134206156382394	0.000936074445490639	1.25310357226337	1.02959227556987e-05	3.42700801170043	0.231712102182634	3.39128558372938	0.544018271833483	5.82005873007513	3.96199159975099	
trochodendraceae	-20.5516346181794	2	8	65	10	972.12271781835	85.0449211614273	67.501401611061	116.799527221435	73.9864161335432	0	0	0	-0.000653262137490729	0.0248666359446351	8.63399920068265e-05	0.0745197805986134	0.0088083519883412	0.862772221432271	4.83783668383531e-05	2.38489979161838	0.154922186481724	1.80869092149583	-1.11710937951118	4.32859960180666	2.5600848079608	
typhaceae	-75.2741852106624	51	93	62.5	5	998.316304082132	73.5402305900375	62.5019052548469	92.0869135359717	66.4377366727994	0	0	0	-0.000619866878336928	0.00369513429338486	3.09828812220591e-07	0.0117014980394752	0.000780171835186382	5.39524598970425	2.47891204586017	8.4936381078664	5.44979749425786	7.18734749428594	5.85753327084828	8.41849863924156	7.33674398520005	
urticaceae	-39.1046997255371	2625	33	52.5	5	999.998533365925	63.0583944200326	55.0002272817387	79.9502145987021	56.4836319481978	0	0	0	-0.000619866878336928	0.000488090721615707	3.23552715007279e-06	0.00114688787236472	0.000220327662347065	2.33786854890205	4.922466823154e-06	5.02423889908318	1.55095325776013	9.61129767858253	7.24036306757428	11.6540448614382	10.0268428712304	
violaceae	-26.581392625234	980	15	75	5	999.951245527877	94.2484986490811	77.5001198260345	126.98081042605	81.1485930933576	0	0	0	-0.000619866878336928	0.000176220036197594	3.62784470906248e-08	0.000651856257523743	2.11430900313726e-05	3.61496817395837	0.429506391139553	6.85262590208465	3.39584582115861	8.4456839874555	6.34957574139423	10.4270470079315	8.67112304460278	
vitaceae	-123.151202768708	910	160	67.5	2.5	999.566254083243	71.9860597217866	67.5041047820848	76.6412765521261	70.5275507807489	0	0	0	-0.000619866878336928	0.00646248154515557	0.00240189961369458	0.0108625108605793	0.00590778943043352	0.527420232459558	3.14350435558913e-05	1.42279391435938	0.0982704467486687	10.2671005328117	9.05998341944695	11.3993807083846	10.4172955763085	
winteraceae	-11.7668859761665	65	3	80	15	999.972324174189	119.532200742346	82.3244008116636	198.370552353612	90.3608251716023	0	0	0	-0.000633621846547194	0.00076933355133444	3.30131955938284e-07	0.00235136852631995	0.000154719734328037	1.04574429066729	1.00981301796033e-05	2.82303338709381	0.196012864712084	5.24718875192625	2.23485010076953	7.69548056653991	5.88230837814169	
