time	angiosperms
2.5	39
5	46
7.5	45
10	45
12.5	44
15	48
17.5	43
20	43
22.5	41
25	38
27.5	39
30	39
32.5	40
35	42
37.5	27
40	30
42.5	31
45	30
47.5	32
50	31
52.5	28
55	30
57.5	29
60	24
62.5	24
65	28
67.5	27
70	25
72.5	26
75	11
77.5	6
80	10
82.5	10
85	19
87.5	15
90	20
92.5	13
95	14
97.5	17
100	16
102.5	14
105	8
107.5	11
110	5
112.5	3
115	7
117.5	3
120	6
122.5	2
125	0
127.5	2
130	2
132.5	0
135	0
137.5	0
140	1
142.5	0
145	0
