time	angiosperms
2.5	37
5	47
7.5	43
10	41
12.5	49
15	45
17.5	40
20	41
22.5	44
25	41
27.5	38
30	35
32.5	38
35	41
37.5	30
40	26
42.5	30
45	32
47.5	34
50	30
52.5	30
55	31
57.5	30
60	23
62.5	18
65	30
67.5	27
70	24
72.5	34
75	7
77.5	8
80	7
82.5	10
85	22
87.5	15
90	20
92.5	14
95	10
97.5	17
100	18
102.5	16
105	9
107.5	8
110	5
112.5	6
115	6
117.5	1
120	2
122.5	3
125	4
127.5	2
130	2
132.5	1
135	0
137.5	0
140	1
142.5	0
145	0
