time	angiosperms
2.5	39
5	46
7.5	40
10	43
12.5	48
15	47
17.5	45
20	42
22.5	42
25	39
27.5	41
30	38
32.5	36
35	41
37.5	32
40	30
42.5	32
45	32
47.5	32
50	28
52.5	30
55	31
57.5	28
60	26
62.5	21
65	32
67.5	27
70	22
72.5	29
75	9
77.5	10
80	9
82.5	12
85	19
87.5	19
90	16
92.5	15
95	14
97.5	14
100	16
102.5	18
105	10
107.5	7
110	6
112.5	3
115	6
117.5	4
120	4
122.5	3
125	2
127.5	1
130	2
132.5	1
135	0
137.5	0
140	1
142.5	0
145	0
