Mean_time	Mean_qlow	Mean_qup	Priors
t_n785_Clusiaceae	102.151	92.77	116.74	B(0.96,1.62,0.025,0.025)
t_n786	71.175	21.92	104.02	0
t_n787	40.727	2.05	86.14	0
t_n788	55.929	3.89	100.37	0
t_n789	77.93	23.93	116.3	0
t_n790	44.032	2.12	95.45	0
t_n791_Humiriaceae	71.604	45.02	87.92	B(0.4,0.87,0.025,0.025)
t_n792	52.596	13.53	81.54	0
t_n793	30.371	1.25	68.73	0
t_n794	52.491	13.64	81.56	0
t_n795	30.44	1.26	68.95	0
t_n796_Oxalidales	112.769	99.01	119.3	B(0.88,1.18,0.025,0.025)
t_n797	106.289	91.92	117.6	0
t_n798	99.398	85.96	114.43	0
t_n799_Cunoniaceae	92.794	82.67	108.51	B(0.85,1.47,0.025,0.025)
t_n800_Elaeocarpaceae	81.613	70.37	98.9	B(0.71,1.05,0.025,0.025)
t_n801	59.186	17.48	87.2	0
t_n802	34.243	1.5	71.75	0
t_n803	51.804	3.56	93.43	0
t_n804	85.812	49.31	111.84	0
t_n805	61.39	15.78	98.44	0
t_n806	35.255	1.53	78.97	0
t_n807	48.47	3.18	94.83	0
t_n808	60.366	4.22	111.01	0
t_n809_Celastraceae	119.451	103.93	131.97	B(1.03,1.64,0.025,0.025)
t_n810	107.707	81.17	125.97	0
t_n811	97.387	69.33	120.53	0
t_n812	85.901	56.55	113.33	0
t_n813	71.276	37.24	101.2	0
t_n814	57.085	19.76	90.22	0
t_n815	32.971	1.56	71.6	0
t_n816	32.954	1.57	71.56	0
t_n817	61.566	17.03	98.05	0
t_n818	35.494	1.55	78.4	0
t_n819	68.671	20.39	106.48	0
t_n820	39.345	1.88	85.01	0
t_n821	62.652	4.54	117.79	0
t_n822	124.762	115.45	134.11	0
t_n823	120.305	110.51	130.19	0
t_n824	113.47	103.78	124.45	0
t_n825_Fagales	106.186	100.74	110.12	B(1,1.1,0.025,0.025)
t_n826_Fagaceae	102.783	98.69	108.51	B(1,1.3,0.025,0.025)
t_n827	79.114	38.28	102.71	0
t_n828	45.143	2.65	89.91	0
t_n829	45.097	2.67	90.19	0
t_n830	71.802	22.14	101.74	0
t_n831	41.023	1.99	87.25	0
t_n832_Cucurbitales	80.732	62.29	92.89	B(0.54,0.92,0.025,0.025)
t_n833	71.814	57.09	88.77	0
t_n834_Cucurbitaceae	63.312	54.22	79.76	B(0.56,1.05,0.025,0.025)
t_n835	36.081	2.11	67.45	0
t_n836	36.157	2.28	67.46	0
t_n837_Rosales	113.298	103.46	121.8	B(1.03,1.22,0.025,0.025)
t_n838	104.479	89.09	118.56	0
t_n839	95.47	78.58	113.13	0
t_n840	87.245	73.57	104.35	0
t_n841_Urticaceae	67.199	54.78	85.17	B(0.55,0.87,0.025,0.025)
t_n842	38.674	2.36	72.37	0
t_n843_Cannabaceae	78.702	70.9	94.7	B(0.72,1,0.025,0.025)
t_n844_Rhamnaceae	87.457	76.9	98.86	B(0.77,0.99,0.025,0.025)
t_n845	49.614	3.39	88.99	0
t_n846	60.305	4.34	110.77	0
t_n847_Fabales	112.525	99.44	128.2	B(1,1.42,0.025,0.025)
t_n848_Fabaceae	85.183	70.7	94.5	B(0.7,0.94,0.025,0.025)
t_n849	73.181	47.46	91.38	0
t_n850	61.857	29.77	84.88	0
t_n851	49.874	15.54	77.17	0
t_n852	36.601	6.07	67.97	0
t_n853	21.11	0.64	54.55	0
t_n854	48.46	3.14	86.48	0
t_n855	66.804	4.88	125.56	0
t_n856	127.157	117.97	135.9	0
t_n857	123.028	111.98	133.31	0
t_n858	119.047	107.02	129.87	0
t_n859	115.169	103.53	126.37	0
t_n860	108.813	95.23	122.07	0
t_n861	102.763	90.56	117.46	0
t_n862_Brassicales	89.152	66.01	106.29	B(0.64,1.07,0.025,0.025)
t_n863	77.844	50.84	100.08	0
t_n864	67.425	37.13	93.44	0
t_n865	57.065	23.08	84.2	0
t_n866	46	12.76	75.04	0
t_n867	33.755	5.15	66.41	0
t_n868	19.303	0.56	52.38	0
t_n869_Malvales	95.315	86.94	110.52	B(0.88,1.25,0.025,0.025)
t_n870	67.414	20.86	98.33	0
t_n871	38.639	1.9	81.16	0
t_n872_Malvaceae	76.692	69.86	83.97	B(0.7,0.84,0.025,0.025)
t_n873	44.149	2.86	77.27	0
t_n874	58.544	3.96	107.49	0
t_n875_Sapindales	107.752	99.87	117.49	B(1,1.18,0.025,0.025)
t_n876	89.619	56.73	111.56	0
t_n877	70.221	29.26	100.95	0
t_n878	51.169	10.71	88.49	0
t_n879	29.646	1.13	70.06	0
t_n880	50.164	3.2	96.19	0
t_n881_Crossosomatales	89.339	62.47	106.89	B(0.61,1.06,0.025,0.025)
t_n882	63.696	17.75	98.99	0
t_n883	36.64	1.62	80.46	0
t_n884	63.723	18.41	99.01	0
t_n885	36.694	1.67	80.43	0
t_n886	118.217	102.95	130.88	0
t_n887_Myrtales	108.281	98.09	117.91	B(0.98,1.18,0.025,0.025)
t_n888	94.231	74.82	113.02	0
t_n889	66.825	20.48	100.3	0
t_n890	38.436	1.86	81.95	0
t_n891_Myrtaceae	78.606	69.6	90.64	B(0.7,0.91,0.025,0.025)
t_n892	45.042	2.89	80.35	0
t_n893	74.544	23.08	109.9	0
t_n894	42.439	2.11	91.5	0
t_n895	79.858	24.17	119.92	0
t_n896	44.697	2.19	97.14	0
t_n897_Vitaceae	72.295	67.88	77.94	B(0.68,0.78,0.025,0.025)
t_n898_Saxifragales	124.245	111.73	129.77	B(1.05,1.29,0.025,0.025)
t_n899	118.754	102.42	128.39	0
t_n900	113.431	96.38	126.41	0
t_n901	108.216	91.4	123.38	0
t_n902	102.307	85.56	119.49	0
t_n903	96.502	81.41	114.62	0
t_n904	91.112	78.47	107.95	0
t_n905	86.013	76.22	100.65	0
t_n906_Haloragaceae	81.033	73.89	93.89	B(0.78,1.28,0.025,0.025)
t_n907	55.977	3.71	102.12	0
t_n908	87.033	49.74	115.72	0
t_n909	62.019	16.3	100.01	0
t_n910	35.699	1.62	79.72	0
t_n911	48.9	3.13	95.92	0
t_n912	62.821	4.69	117.72	0
t_n913_Altingiaceae	98.665	94.97	101.9	B(0.71,1,0.025,0.025)
t_n914_Hamamelidaceae	96.383	93.13	100.1	B(0.95,1.26,0.025,0.025)
t_n915	74.617	35.7	96.43	0
t_n916	42.895	2.51	84.13	0
t_n917	42.881	2.42	84.47	0
t_n918	53.517	3.65	94.22	0
t_n919	54.76	3.97	96.68	0
t_n920	131.15	125.04	138.94	0
t_n921	130.557	124.03	138.49	0
t_n922	129.953	123.2	137.96	0
t_n923	129.303	122.27	137.42	0
t_n924	128.238	120.76	136.53	0
t_n925	127.139	119.36	135.6	0
t_n926	125.608	117.43	134.35	0
t_n927	123.646	115.06	132.73	0
t_n928	121.63	112.49	130.98	0
t_n929	119.743	109.87	129.2	0
t_n930	117.794	107.37	127.6	0
t_n931	115.776	105.06	125.86	0
t_n932	112.025	99.7	123.17	0
t_n933_Dipsacales	107.925	96.08	119.97	B(0.95,1.38,0.025,0.025)
t_n934	102.731	88.35	116.44	0
t_n935	98.101	81.36	113	0
t_n936	92.73	74.13	108.58	0
t_n937	86.549	67.22	103.85	0
t_n938	79.042	56.86	98.69	0
t_n939	68.485	41.17	92.03	0
t_n940	57.897	24.59	83.41	0
t_n941	46.676	13.43	74.39	0
t_n942	26.969	1.15	61.97	0
t_n943	26.913	1.13	62.57	0
t_n944	63.152	26.67	89.93	0
t_n945	46.373	9.57	78.31	0
t_n946	26.686	0.96	64.76	0
t_n947	68.299	31.05	95.3	0
t_n948	50.017	10.69	82.94	0
t_n949	28.882	1.14	68.15	0
t_n950	72.611	35.09	99.49	0
t_n951	52.91	11.69	87.7	0
t_n952	30.371	1.15	70.06	0
t_n953	80.325	47.14	104.29	0
t_n954	63.758	24.42	94.94	0
t_n955	46.62	9.14	81.24	0
t_n956	26.917	0.97	66.34	0
t_n957	56.33	3.65	101.95	0
t_n958_Adoxaceae	93.775	78.19	109.23	B(0.78,1.1,0.025,0.025)
t_n959	73.185	35.31	101.04	0
