Mean_time	Mean_qlow	Mean_qup	Priors
t_n785_Clusiaceae	102.152	92.76	116.73	B(0.96,1.62,0.025,0.025)
t_n786	71.163	21.86	104	0
t_n787	40.691	2.03	86.24	0
t_n788	55.937	3.84	100.35	0
t_n789	77.962	24	116.28	0
t_n790	44.053	2.18	95.31	0
t_n791_Humiriaceae	71.651	45.1	87.93	B(0.4,0.87,0.025,0.025)
t_n792	52.562	13.56	81.47	0
t_n793	30.397	1.26	68.79	0
t_n794	52.523	13.56	81.62	0
t_n795	30.457	1.25	68.9	0
t_n796_Oxalidales	112.757	99.01	119.3	B(0.88,1.18,0.025,0.025)
t_n797	106.282	91.96	117.56	0
t_n798	99.415	86	114.42	0
t_n799_Cunoniaceae	92.815	82.67	108.46	B(0.85,1.47,0.025,0.025)
t_n800_Elaeocarpaceae	81.622	70.37	98.9	B(0.71,1.05,0.025,0.025)
t_n801	59.178	17.64	87.28	0
t_n802	34.252	1.51	71.65	0
t_n803	51.857	3.54	93.43	0
t_n804	85.881	49.43	111.84	0
t_n805	61.481	15.92	98.49	0
t_n806	35.356	1.5	78.89	0
t_n807	48.512	3.13	94.72	0
t_n808	60.416	4.2	111.07	0
t_n809_Celastraceae	119.458	103.92	131.96	B(1.03,1.64,0.025,0.025)
t_n810	107.756	81.3	126.02	0
t_n811	97.439	69.36	120.55	0
t_n812	85.931	56.56	113.36	0
t_n813	71.288	37.19	101.16	0
t_n814	57.087	19.72	90.34	0
t_n815	32.935	1.53	71.6	0
t_n816	32.944	1.57	71.54	0
t_n817	61.65	17.02	97.99	0
t_n818	35.52	1.57	78.36	0
t_n819	68.682	20.45	106.45	0
t_n820	39.373	1.89	85.19	0
t_n821	62.603	4.5	117.7	0
t_n822	124.766	115.4	134.09	0
t_n823	120.295	110.51	130.18	0
t_n824	113.477	103.78	124.51	0
t_n825_Fagales	106.18	100.74	110.11	B(1,1.1,0.025,0.025)
t_n826_Fagaceae	102.784	98.69	108.5	B(1,1.3,0.025,0.025)
t_n827	79.225	38.4	102.74	0
t_n828	45.236	2.71	89.88	0
t_n829	45.217	2.62	90.24	0
t_n830	71.912	22.31	101.7	0
t_n831	41.034	1.99	87.04	0
t_n832_Cucurbitales	80.75	62.3	92.89	B(0.54,0.92,0.025,0.025)
t_n833	71.831	57.09	88.8	0
t_n834_Cucurbitaceae	63.323	54.21	79.96	B(0.56,1.05,0.025,0.025)
t_n835	36.106	2.11	67.45	0
t_n836	36.153	2.23	67.55	0
t_n837_Rosales	113.283	103.47	121.82	B(1.03,1.22,0.025,0.025)
t_n838	104.425	89.03	118.56	0
t_n839	95.422	78.53	113.16	0
t_n840	87.2	73.55	104.3	0
t_n841_Urticaceae	67.163	54.79	85.15	B(0.55,0.87,0.025,0.025)
t_n842	38.578	2.34	72.33	0
t_n843_Cannabaceae	78.667	70.88	94.61	B(0.72,1,0.025,0.025)
t_n844_Rhamnaceae	87.479	76.92	98.85	B(0.77,0.99,0.025,0.025)
t_n845	49.581	3.35	88.98	0
t_n846	60.361	4.27	110.78	0
t_n847_Fabales	112.518	99.46	128.14	B(1,1.42,0.025,0.025)
t_n848_Fabaceae	85.226	70.71	94.52	B(0.7,0.94,0.025,0.025)
t_n849	73.227	47.3	91.44	0
t_n850	61.898	29.59	84.97	0
t_n851	49.923	15.47	77.36	0
t_n852	36.625	6.06	68.06	0
t_n853	21.154	0.67	54.71	0
t_n854	48.523	3.15	86.49	0
t_n855	66.762	4.96	125.54	0
t_n856	127.166	117.96	135.9	0
t_n857	123.034	111.98	133.33	0
t_n858	119.039	106.98	129.88	0
t_n859	115.155	103.53	126.38	0
t_n860	108.808	95.22	122.07	0
t_n861	102.773	90.57	117.49	0
t_n862_Brassicales	89.167	66.04	106.33	B(0.64,1.07,0.025,0.025)
t_n863	77.89	50.83	100.19	0
t_n864	67.452	37.06	93.58	0
t_n865	57.047	23.13	84.2	0
t_n866	45.964	12.72	75.03	0
t_n867	33.736	5.08	66.38	0
t_n868	19.338	0.55	52.46	0
t_n869_Malvales	95.34	86.95	110.52	B(0.88,1.25,0.025,0.025)
t_n870	67.372	20.79	98.3	0
t_n871	38.643	1.91	81.24	0
t_n872_Malvaceae	76.695	69.86	83.96	B(0.7,0.84,0.025,0.025)
t_n873	44.213	2.88	77.28	0
t_n874	58.609	4.03	107.35	0
t_n875_Sapindales	107.742	99.88	117.47	B(1,1.18,0.025,0.025)
t_n876	89.639	56.71	111.51	0
t_n877	70.231	29.5	100.95	0
t_n878	51.175	10.69	88.46	0
t_n879	29.625	1.13	69.99	0
t_n880	50.195	3.2	96.21	0
t_n881_Crossosomatales	89.382	62.53	106.87	B(0.61,1.06,0.025,0.025)
t_n882	63.739	17.95	98.98	0
t_n883	36.65	1.67	80.42	0
t_n884	63.796	18.63	99.08	0
t_n885	36.762	1.7	80.56	0
t_n886	118.215	102.9	130.89	0
t_n887_Myrtales	108.267	98.09	117.9	B(0.98,1.18,0.025,0.025)
t_n888	94.252	74.82	112.98	0
t_n889	66.794	20.21	100.29	0
t_n890	38.404	1.85	81.94	0
t_n891_Myrtaceae	78.615	69.59	90.64	B(0.7,0.91,0.025,0.025)
t_n892	45.056	2.89	80.42	0
t_n893	74.618	23.09	109.87	0
t_n894	42.46	2.09	91.48	0
t_n895	79.856	24.18	119.82	0
t_n896	44.792	2.21	97.45	0
t_n897_Vitaceae	72.286	67.87	77.93	B(0.68,0.78,0.025,0.025)
t_n898_Saxifragales	124.244	111.71	129.77	B(1.05,1.29,0.025,0.025)
t_n899	118.734	102.4	128.42	0
t_n900	113.41	96.37	126.43	0
t_n901	108.194	91.36	123.43	0
t_n902	102.273	85.55	119.48	0
t_n903	96.489	81.4	114.64	0
t_n904	91.127	78.46	107.96	0
t_n905	86.038	76.23	100.68	0
t_n906_Haloragaceae	81.047	73.86	93.93	B(0.78,1.28,0.025,0.025)
t_n907	56.015	3.77	102.13	0
t_n908	87.09	49.85	115.72	0
t_n909	62.109	16.3	100.15	0
t_n910	35.738	1.62	79.79	0
t_n911	48.916	3.16	95.99	0
t_n912	62.786	4.68	117.67	0
t_n913_Altingiaceae	98.662	94.97	101.9	B(0.71,1,0.025,0.025)
t_n914_Hamamelidaceae	96.381	93.12	100.1	B(0.95,1.26,0.025,0.025)
t_n915	74.692	35.89	96.42	0
t_n916	42.962	2.55	84.2	0
t_n917	42.974	2.43	84.42	0
t_n918	53.547	3.72	94.24	0
t_n919	54.709	3.92	96.69	0
t_n920	131.168	125.08	138.9	0
t_n921	130.574	124.07	138.42	0
t_n922	129.97	123.21	137.92	0
t_n923	129.318	122.28	137.38	0
t_n924	128.256	120.78	136.51	0
t_n925	127.161	119.4	135.57	0
t_n926	125.634	117.46	134.39	0
t_n927	123.685	115.12	132.76	0
t_n928	121.674	112.6	130.99	0
t_n929	119.801	110.03	129.2	0
t_n930	117.86	107.53	127.58	0
t_n931	115.857	105.2	125.83	0
t_n932	112.162	99.9	123.21	0
t_n933_Dipsacales	108.129	96.24	120.05	B(0.95,1.38,0.025,0.025)
t_n934	103.091	89.02	116.56	0
t_n935	98.616	82.12	113.05	0
t_n936	93.215	74.81	108.72	0
t_n937	87.008	67.56	104.02	0
t_n938	79.443	57.19	98.87	0
t_n939	68.806	41.4	92.33	0
t_n940	58.177	24.8	83.71	0
t_n941	46.941	13.55	74.8	0
t_n942	27.149	1.18	62.58	0
t_n943	27.032	1.14	62.66	0
t_n944	63.444	26.85	90.29	0
t_n945	46.553	9.58	78.61	0
t_n946	26.812	0.98	65.06	0
t_n947	68.651	31.48	95.61	0
t_n948	50.239	10.66	83.19	0
t_n949	28.996	1.14	68.32	0
t_n950	73.003	35.18	99.68	0
t_n951	53.189	11.8	88.03	0
t_n952	30.613	1.18	70.28	0
t_n953	83.059	49.34	104.4	0
t_n954	65.688	25.72	95.79	0
t_n955	48.005	9.59	82.79	0
t_n956	27.705	1	67.42	0
t_n957	56.501	3.8	102.13	0
t_n958_Adoxaceae	93.859	78.2	109.29	B(0.78,1.1,0.025,0.025)
t_n959	73.246	35.06	101.05	0
t_n960	53.309	11.97	88.96	0
t_n961	30.784	1.24	70.56	0
t_n962	76.476	23.48	113.09	0
t_n963	43.308	2.1	93.6	0
t_n964_Apiales	110.887	98.52	122.43	B(0.96,1.59,0.025,0.025)
t_n965_Torricelliaceae	105.156	92.55	117.92	B(0.61,1.69,0.025,0.025)
t_n966	99.415	86.59	112.61	0
t_n967	94.344	82.22	106.29	0
t_n968_Araliaceae	88.774	78.35	94.59	B(0.73,0.94,0.025,0.025)
t_n969	84.124	73.83	93.17	0
t_n970_Apiaceae	79.473	70.97	90.52	B(0.73,1.28,0.025,0.025)
t_n971	72.119	53.88	86.03	0
t_n972	65.403	43.29	81.74	0
t_n973	57.31	29.86	76.6	0
t_n974	48.613	18.66	70.53	0
t_n975	39.229	10.3	65.59	0
t_n976	22.581	0.9	53.63	0
t_n977	22.517	0.89	53.62	0
t_n978	38.006	2.2	70.7	0
t_n979	45.693	3.09	80.18	0
t_n980	47.918	3.13	84.2	0
t_n981	80.716	62.65	92.84	0
t_n982	73.415	51.82	89.48	0
t_n983	65.381	40.12	84.18	0
t_n984	57.213	27.28	78.85	0
t_n985	42.073	9.08	69.79	0
t_n986	24.135	0.9	57.99	0
t_n987	42.034	8.99	69.87	0
t_n988	24.354	0.9	57.94	0
t_n989	42.561	2.68	78.29	0
t_n990_Pittosporaceae	59.677	40.99	92.29	B(0.43,1.11,0.025,0.025)
t_n991	72.965	21.87	106.79	0
t_n992	41.608	2.06	89.25	0
t_n993	87.96	42.28	119.4	0
t_n994	49.071	3.08	99.53	0
t_n995	49.162	2.92	99.89	0
t_n996	101.091	67.12	122.95	0
t_n997	82.048	44.43	114.48	0
t_n998	64.814	23.44	100.68	0
t_n999	47.208	8.99	85.16	0
t_n1000	27.215	0.94	67.69	0
t_n1001	55.164	3.96	105.78	0
t_n1002_Asterales	69.598	63.76	74.04	B(0.43,0.7,0.025,0.025)
t_n1003	68.21	60.45	73.25	0
t_n1004	66.957	58.13	72.6	0
t_n1005	65.25	55.88	71.81	0
t_n1006	63.195	53.76	70.79	0
t_n1007	60.886	51.75	69.71	0
t_n1008_Asteraceae	57.608	49.87	67.62	B(0.51,0.96,0.025,0.025)
t_n1009	52.118	35.53	64.95	0
t_n1010	47.204	25.41	61.83	0
t_n1011	42.179	19.41	58.41	0
t_n1012	36.833	13.49	55.16	0
t_n1013	26.949	4.83	49.89	0
t_n1014	15.487	0.47	42.69	0
t_n1015	26.935	4.83	49.84	0
t_n1016	15.401	0.49	42.31	0
t_n1017	41.711	10.4	61.88	0
t_n1018	24.015	0.97	52.94	0
t_n1019	44.15	11.38	65.34	0
t_n1020	25.572	1.01	55.64	0
t_n1021_Menyanthaceae	47.026	35.22	57.1	B(0.35,0.57,0.025,0.025)
t_n1022	26.488	1.39	52.2	0
t_n1023	26.526	1.36	52.19	0
t_n1024	48.06	12.78	68.72	0
t_n1025	27.624	1.13	59.9	0
t_n1026	60.391	40.61	70.91	0
t_n1027	48.771	18.5	68.23	0
t_n1028	35.713	6.67	61.87	0
t_n1029	20.595	0.68	51.03	0
t_n1030	44.342	10.77	67.51	0
t_n1031	25.606	1	56.96	0
t_n1032	64.58	48.38	72.33	0
t_n1033_Campanulaceae	53.718	26.04	69.39	B(0.21,0.92,0.025,0.025)
t_n1034	45.244	17.06	66.17	0
t_n1035	33.531	6.15	59.3	0
t_n1036	19.448	0.65	49.87	0
t_n1037	26.492	1.24	56.37	0
t_n1038	52.334	20.94	69.89	0
t_n1039	38.374	7.45	65.12	0
t_n1040	22.158	0.78	53.72	0
t_n1041	107.997	75.88	127.03	0
t_n1042	90.079	54.06	119.46	0
t_n1043	63.943	17.65	103.68	0
t_n1044	36.715	1.62	82.01	0
t_n1045	63.922	17.74	103.71	0
t_n1046	36.692	1.65	81.85	0
t_n1047	74.322	22.21	115.89	0
t_n1048	42.052	2.02	92.67	0
t_n1049	121.001	108.96	131.11	0
t_n1050	116.153	102.02	127.77	0
t_n1051	111.339	97.95	124.03	0
t_n1052	106.583	94.24	120.22	0
t_n1053	100.504	88.04	114.32	0
t_n1054_Lamiales	93.173	79.99	99.64	B(0.75,0.99,0.025,0.025)
t_n1055	88.887	74.18	98.36	0
t_n1056	84.659	68.93	96.7	0
t_n1057	80.535	64.72	94.49	0
t_n1058	76.122	58.41	91.6	0
t_n1059	71.18	51.93	87.66	0
t_n1060	66.358	45.81	83.54	0
t_n1061	61.541	39.2	79.63	0
t_n1062	53.898	26.03	74.06	0
t_n1063	43.45	13.39	68.22	0
t_n1064	31.795	5.2	60.18	0
t_n1065	18.209	0.56	48.95	0
t_n1066	31.183	1.68	64.32	0
t_n1067	49.69	18.76	72.16	0
t_n1068	36.495	6.64	65.62	0
t_n1069	21.018	0.7	52.81	0
t_n1070	55.891	15.5	82.52	0
t_n1071	32.424	1.38	69.51	0
t_n1072	58.78	16.96	85.98	0
t_n1073	33.925	1.5	71.81	0
t_n1074	50.416	3.48	90.19	0
t_n1075_Solanales	85.935	60.37	101.75	B(0.56,1.02,0.025,0.025)
t_n1076	71.328	39.11	96.21	0
t_n1077	52.262	12.52	84.95	0
t_n1078	30.181	1.16	69.5	0
t_n1079	41.29	2.34	81.21	0
t_n1080	61.824	17.94	93.96	0
t_n1081	35.701	1.74	77.3	0
t_n1082	96.626	79.48	113.01	0
t_n1083_Gentianales	86.511	73.18	99.56	B(0.73,1,0.025,0.025)
t_n1084	71.812	41.79	94.29	0
t_n1085	57.676	21.17	85	0
t_n1086	42.391	7.81	73.78	0
t_n1087	24.473	0.81	60.74	0
t_n1088	62.19	18.75	91.96	0
t_n1089	36.027	1.7	76.03	0
t_n1090_Boraginaceae	71.267	54.63	95.44	B(0.55,0.97,0.025,0.025)
t_n1091	40.801	2.45	80.14	0
t_n1092	96.472	68.41	122.73	0
t_n1093_Garryales	76.275	63.47	103.65	B(0.65,1.08,0.025,0.025)
t_n1094_Ericales	122.484	113.07	132.62	B(1.13,1.58,0.025,0.025)
t_n1095	115.239	97.31	128.29	0
t_n1096	108.64	89.25	124.34	0
t_n1097	101.777	81.46	120.24	0
t_n1098	89.372	62.61	113.53	0
t_n1099	78.118	49.07	104.39	0
t_n1100	65.507	31.52	95.16	0
t_n1101	47.939	10.35	81.32	0
t_n1102	27.656	1.04	66.41	0
t_n1103	37.823	2.17	77.05	0
t_n1104	44.594	2.67	86.32	0
t_n1105	91.561	71.96	113.87	0
t_n1106_Primulaceae	81.078	67.98	103.9	B(0.7,1.23,0.025,0.025)
t_n1107	64.264	28.44	92.94	0
t_n1108	47.096	9.82	79.15	0
t_n1109	27.311	1.02	65.36	0
t_n1110	51.29	3.51	95.59	0
t_n1111	74.97	23.02	113.19	0
t_n1112	42.483	2.03	91.95	0
t_n1113	82.101	24.98	122.15	0
t_n1114	45.895	2.34	99.86	0
t_n1115_Cornales	107.999	90.74	120.41	B(0.9,1.2,0.025,0.025)
t_n1116	82.151	39.83	114.31	0
t_n1117	58.837	13.75	99.19	0
t_n1118	33.754	1.35	77.65	0
t_n1119	58.226	3.91	108.3	0
t_n1120_Caryophyllales	125.604	113.88	135.43	B(0.89,1.47,0.025,0.025)
t_n1121	119.688	102.36	131.64	0
t_n1122	114.289	95.57	128.29	0
t_n1123	109.043	89.46	124.94	0
t_n1124	103.779	82.94	121.51	0
t_n1125	98.318	77.49	117.67	0
t_n1126	93.106	71.77	113.51	0
t_n1127	88.206	67.88	108.36	0
t_n1128	80.385	57.7	101.39	0
t_n1129	73.073	49.26	95.96	0
t_n1130	65.975	40.1	89.58	0
t_n1131	53.149	19.95	79.83	0
t_n1132	30.786	1.49	66.85	0
t_n1133	30.699	1.46	66.99	0
t_n1134	53.192	19.97	79.9	0
t_n1135	39.022	7.23	69.66	0
t_n1136	22.418	0.74	56.36	0
t_n1137	78.734	55.25	100.59	0
t_n1138	69.963	45.34	94.04	0
t_n1139	59.78	33.59	84.04	0
t_n1140	49.502	23.7	73.88	0
t_n1141_Nyctaginaceae	32.657	17.67	53.79	B(0.18,0.56,0.025,0.025)
t_n1142	17.855	0.8	44.7	0
t_n1143	28.254	1.42	61.95	0
t_n1144	40.416	2.46	77.64	0
t_n1145	75.925	35.24	109.64	0
t_n1146	50.46	18.96	91.14	0
t_n1147_Amaranthaceae	19.06	12.99	25.01	B(0.13,0.25,0.025,0.025)
t_n1148	9.942	0.47	22.87	0
t_n1149	58.807	4.18	109.53	0
t_n1150	112.666	84.79	129.66	0
t_n1151	92.792	59.3	121.71	0
t_n1152	71.972	43.15	107.23	0
t_n1153_Polygonaceae	45.129	34.9	56.83	B(0.35,0.57,0.025,0.025)
t_n1154	24.779	1.25	51.02	0
t_n1155	40.972	2.35	84.22	0
t_n1156	51.629	3.23	101.12	0
t_n1157	93.416	57.31	122.01	0
t_n1158	72.606	30.27	109.51	0
t_n1159	52.673	10.72	93.2	0
t_n1160	30.324	1.15	71.65	0
t_n1161	51.909	3.35	101.26	0
t_n1162	66.939	4.79	126.33	0
t_n1163_Santalales	99.737	74.47	115.85	B(0.73,1.15,0.025,0.025)
t_n1164	81.155	46.04	109.82	0
t_n1165	64.254	23.56	98.47	0
t_n1166	37.015	1.85	78.97	0
t_n1167	37.015	1.87	79.02	0
t_n1168	86.998	26.49	130.18	0
t_n1169	48.094	2.53	106.57	0
t_n1170	67.904	4.86	128.9	0
t_n1171_Buxaceae	41.36	29.95	52.96	B(0.3,0.53,0.025,0.025)
t_n1172	22.613	1.16	48.1	0
t_n1173	68.139	4.97	129.52	0
t_n1174_Proteales	119.767	115.05	124.04	B(1.15,1.24,0.025,0.025)
t_n1175	93.367	68.58	119.29	0
t_n1176_Proteaceae	71.57	64.74	81.71	B(0.65,0.82,0.025,0.025)
t_n1177	41.19	2.63	72.93	0
t_n1178	62.859	4.43	116.33	0
t_n1179_Ranunculales	135.097	122.36	149.19	B(1.15,1.56,0.025,0.025)
t_n1180	127.615	115.92	138.43	0
t_n1181	123.177	111.03	134.3	0
t_n1182_Menispermaceae	100.119	92.14	107.09	B(0.92,1.07,0.025,0.025)
t_n1183_Ranunculaceae	82.167	64.77	102.27	B(0.65,1.05,0.025,0.025)
t_n1184	59.338	17.19	92.09	0
t_n1185	34.382	1.53	74.11	0
t_n1186_Berberidaceae	56.372	47.88	65.88	B(0.48,0.66,0.025,0.025)
t_n1187	55.357	3.94	98.92	0
t_n1188_Lardizabalaceae	118.658	106.12	130.19	B(1.19,2.53,0.025,0.025)
t_n1189	79.795	24.46	118.84	0
t_n1190	44.76	2.29	97.06	0
t_n1191	84.714	25.59	127.76	0
t_n1192	47.006	2.27	103.56	0
t_n1193	132.764	120.23	148.14	0
t_n1194	127.538	115.04	140.4	0
t_n1195	123.478	110.35	135.3	0
t_n1196	117.754	103.28	131.04	0
t_n1197	111.744	98.97	125.83	0
t_n1198_Arecaceae	98.559	92.88	101.48	B(0.88,1.01,0.025,0.025)
t_n1199	96.168	90.35	100.7	0
t_n1200_Poales	86.367	74.88	93.34	B(0.73,0.93,0.025,0.025)
t_n1201_Poaceae	77.878	68.58	90.33	B(0.7,1.14,0.025,0.025)
t_n1202	62.364	27.96	83.4	0
t_n1203	45.895	9.66	74.1	0
t_n1204	26.473	1.01	62.83	0
t_n1205_Typhaceae	73.69	64.17	89.16	B(0.65,1,0.025,0.025)
t_n1206	42.385	2.72	77.06	0
t_n1207	93.768	88.42	99.53	0
t_n1208_Zingiberales	91.008	86.71	97.01	B(0.89,1.23,0.025,0.025)
t_n1209	50.913	3.55	88.52	0
t_n1210	52.29	3.57	91.99	0
t_n1211	54.761	3.82	96.96	0
t_n1212_Asparagales	104.209	87.57	119.17	B(0.7,1.2,0.025,0.025)
t_n1213	92.284	66.89	113.42	0
t_n1214	81.833	54.04	105.49	0
t_n1215	72.088	43.38	97.89	0
t_n1216	62.688	31.28	90.14	0
t_n1217	45.914	10.09	77.5	0
t_n1218	26.391	1.01	64.04	0
