time	Alismatales	Amborellales	Apiales	Aquifoliales	Arecales	Asparagales	Asterales	Austrobaileyales	Boraginales	Brassicales	Buxales	Canellales	Caryophyllales	Celastrales	Ceratophyllales	Chloranthales	Commelinales	Cornales	Crossosomatales	Cucurbitales	Dilleniales	Dioscoreales	Dipsacales	Ericales	Fabales	Fagales	Garryales	Gentianales	Geraniales	Huerteales	Icacinales	Lamiales	Laurales	Liliales	Magnoliales	Malpighiales	Malvales	Myrtales	Nymphaeales	Oxalidales	Pandanales	Paracryphiales	Piperales	Poales	Proteales	Ranunculales	Rosales	Santalales	Sapindales	Saxifragales	Solanales	Trochodendrales	Vitales	Zingiberales	Zygophyllales
65	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	1	2	1	1	1	1	0	1	0	2	1	0	1	3	1	3	1	2	0	0	1	1	1	1	5	0	4	2	0	1	1	3	0
67.5	0	0	1	0	1	2	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	2	3	1	4	0	0	0	0	1	1	1	0	2	3	2	1	0	0	1	0	0	2	2	0	2	0	2	1	0	0	0	1	0
70	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	0	2	0	2	0	0	1	1	0	0	0	3	1	2	1	1	2	0	0	1	3	1	3	0	2	2	0	0	1	2	0
72.5	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	2	0	0	1	0	1	2	1	2	0	0	0	0	1	2	1	0	1	2	1	2	1	0	0	0	0	1	2	1	4	1	4	0	0	1	1	0	0
75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
77.5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	2	1	0	0	0	0	0
80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0
82.5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0
85	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	4	0	3	0	0	0	0	0	0	3	0	1	1	0	1	1	1	1	1	0	0	2	1	1	0	1	1	0	0	0	0	0
87.5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	1	1	0
90	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	3	0	0	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0
92.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0
95	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	1	1	0	2	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
97.5	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	2	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	1	1	2	0	1	0	0	1	0	0	0
