Mean_time	Mean_qlow	Mean_qup	Priors
t_n785_Clusiaceae	103.285	96.24	116.34	B(0.96,1.62,1e-300,1e-300)
t_n786	71.704	22.06	104.65	0
t_n787	40.707	1.93	87.85	0
t_n788	56.065	3.94	100.81	0
t_n789	78.013	23.75	115.89	0
t_n790	43.718	2.17	95.9	0
t_n791_Humiriaceae	70.31	45.02	86.36	B(0.4,0.87,1e-300,1e-300)
t_n792	51.283	13.06	80.38	0
t_n793	29.593	1.19	66.86	0
t_n794	51.276	13.01	80.49	0
t_n795	29.641	1.21	66.65	0
t_n796_Oxalidales	112.244	99.52	117.84	B(0.88,1.18,1e-300,1e-300)
t_n797	106.265	93.13	116.62	0
t_n798	99.97	88.2	113.82	0
t_n799_Cunoniaceae	93.849	85.4	108.18	B(0.85,1.47,1e-300,1e-300)
t_n800_Elaeocarpaceae	82.701	71.58	99.07	B(0.71,1.05,1e-300,1e-300)
t_n801	59.28	17.46	88.24	0
t_n802	34.218	1.52	72.35	0
t_n803	51.889	3.6	93.86	0
t_n804	86.031	49.26	111.22	0
t_n805	61.19	16.32	98.67	0
t_n806	35.168	1.54	79.4	0
t_n807	48.033	3.04	95.2	0
t_n808	60.026	4.2	110.17	0
t_n809_Celastraceae	118.038	104.88	127.4	B(1.03,1.64,1e-300,1e-300)
t_n810	107.109	81.74	123.78	0
t_n811	97.155	68.72	119.41	0
t_n812	85.669	56.03	112.28	0
t_n813	70.822	36.48	100.76	0
t_n814	56.349	19.43	89.91	0
t_n815	32.415	1.49	70.75	0
t_n816	32.402	1.57	70.25	0
t_n817	61.14	17.39	97.77	0
t_n818	35.238	1.6	78.51	0
t_n819	68.137	20.96	105.53	0
t_n820	38.817	1.9	84.91	0
t_n821	62.352	4.37	116.45	0
t_n822	123.087	115.17	128.59	0
t_n823	119.443	110.34	126.95	0
t_n824	113.194	104.23	123.16	0
t_n825_Fagales	106.323	101.38	109.84	B(1,1.1,1e-300,1e-300)
t_n826_Fagaceae	103.299	100.12	108.41	B(1,1.3,1e-300,1e-300)
t_n827	79.46	38.24	103.13	0
t_n828	44.945	2.66	90.84	0
t_n829	44.818	2.67	90.62	0
t_n830	72.104	22.51	102.08	0
t_n831	40.966	1.93	88.48	0
t_n832_Cucurbitales	80.177	62.52	91.6	B(0.54,0.92,1e-300,1e-300)
t_n833	71.717	58.27	87.73	0
t_n834_Cucurbitaceae	63.774	56.29	79.69	B(0.56,1.05,1e-300,1e-300)
t_n835	36.377	2.14	66.68	0
t_n836	36.442	2.12	66.77	0
t_n837_Rosales	113.1	103.86	121.34	B(1.03,1.22,1e-300,1e-300)
t_n838	104.473	89.66	118.06	0
t_n839	95.788	79.4	112.62	0
t_n840	87.716	74.58	104.44	0
t_n841_Urticaceae	67.242	55.6	84.71	B(0.55,0.87,1e-300,1e-300)
t_n842	38.579	2.46	71.71	0
t_n843_Cannabaceae	79.363	72.23	94.72	B(0.72,1,1e-300,1e-300)
t_n844_Rhamnaceae	87.649	77.51	98.35	B(0.77,0.99,1e-300,1e-300)
t_n845	49.16	3.3	89	0
t_n846	60.267	4.19	110.54	0
t_n847_Fabales	112.173	100.6	125.16	B(1,1.42,1e-300,1e-300)
t_n848_Fabaceae	84.936	71.42	93.7	B(0.7,0.94,1e-300,1e-300)
t_n849	72.674	46.81	90.81	0
t_n850	61.097	28.95	84.37	0
t_n851	49.122	15.29	76.99	0
t_n852	35.987	6.03	66.59	0
t_n853	20.702	0.66	53.64	0
t_n854	47.952	3.16	85.94	0
t_n855	66.298	4.66	123.9	0
t_n856	124.933	117.55	129.16	0
t_n857	121.698	111.69	128.4	0
t_n858	118.269	107.04	126.87	0
t_n859	114.722	103.82	124.41	0
t_n860	108.663	95.89	121.22	0
t_n861	102.906	91.34	117	0
t_n862_Brassicales	89.268	66.43	105.57	B(0.64,1.07,1e-300,1e-300)
t_n863	77.819	51.3	99.83	0
t_n864	67.094	36.76	93.46	0
t_n865	56.572	23.26	84.36	0
t_n866	45.517	12.77	75.16	0
t_n867	33.362	5.19	64.98	0
t_n868	19.158	0.57	51.6	0
t_n869_Malvales	95.872	88.32	110.21	B(0.88,1.25,1e-300,1e-300)
t_n870	67.368	20.9	98.24	0
t_n871	38.492	1.82	81.87	0
t_n872_Malvaceae	76.913	70.35	83.64	B(0.7,0.84,1e-300,1e-300)
t_n873	44.044	2.88	77.25	0
t_n874	58.328	3.96	107.25	0
t_n875_Sapindales	107.804	100.36	117.07	B(1,1.18,1e-300,1e-300)
t_n876	90.001	56.43	111.38	0
t_n877	70.228	29.72	101.36	0
t_n878	50.87	10.83	88.85	0
t_n879	29.218	1.08	69.48	0
t_n880	50.138	3.3	96.59	0
t_n881_Crossosomatales	88.563	62.96	105.42	B(0.61,1.06,1e-300,1e-300)
t_n882	62.986	18.31	98.01	0
t_n883	36.184	1.68	79.99	0
t_n884	63.043	18.5	98.06	0
t_n885	36.102	1.65	79.83	0
t_n886	117.427	103.38	127.45	0
t_n887_Myrtales	108.249	98.57	117.44	B(0.98,1.18,1e-300,1e-300)
t_n888	94.638	76.17	112.5	0
t_n889	66.749	20.27	100.44	0
t_n890	38.143	1.84	82.42	0
t_n891_Myrtaceae	79.095	70.38	90.22	B(0.7,0.91,1e-300,1e-300)
t_n892	44.851	3.01	80.51	0
t_n893	74.744	23.1	109.55	0
t_n894	42.271	2.15	91.7	0
t_n895	79.376	24.14	119.28	0
t_n896	44.361	2.27	97.47	0
t_n897_Vitaceae	72.534	68.15	77.7	B(0.68,0.78,1e-300,1e-300)
t_n898_Saxifragales	124.088	112.52	128.79	B(1.05,1.29,1e-300,1e-300)
t_n899	119.426	103.98	127.88	0
t_n900	114.554	97.81	126.33	0
t_n901	109.579	93.31	123.8	0
t_n902	103.894	88.04	120.43	0
t_n903	98.257	83.4	115.79	0
t_n904	92.957	80.68	109.45	0
t_n905	87.883	79.03	102.39	0
t_n906_Haloragaceae	82.861	78.12	95.28	B(0.78,1.28,1e-300,1e-300)
t_n907	56.565	4.03	104.12	0
t_n908	88.261	49.84	116.78	0
t_n909	62.604	17.13	101.71	0
t_n910	35.705	1.58	81.06	0
t_n911	49.205	3.21	97.52	0
t_n912	63.042	4.56	118.74	0
t_n913_Altingiaceae	98.34	95.82	99.93	B(0.71,1,1e-300,1e-300)
t_n914_Hamamelidaceae	96.695	95.07	99.23	B(0.95,1.26,1e-300,1e-300)
t_n915	74.787	35.91	96.38	0
t_n916	42.578	2.52	84.6	0
t_n917	42.515	2.41	84.44	0
t_n918	53.252	3.75	94.5	0
t_n919	54.42	3.73	96.43	0
t_n920	127.773	123.95	129.71	0
t_n921	127.351	123.14	129.63	0
t_n922	126.916	122.41	129.53	0
t_n923	126.44	121.59	129.4	0
t_n924	125.668	120.34	129.2	0
t_n925	124.85	119.08	128.93	0
t_n926	123.69	117.08	128.54	0
t_n927	122.131	114.61	127.9	0
t_n928	120.423	111.9	127.05	0
t_n929	118.748	109.35	126.04	0
t_n930	116.934	107.04	124.82	0
t_n931	115.032	104.86	123.5	0
t_n932	111.515	100.01	121.51	0
t_n933_Dipsacales	107.662	96.66	118.8	B(0.95,1.38,1e-300,1e-300)
t_n934	102.658	88.96	115.5	0
t_n935	98.141	81.66	112.13	0
t_n936	92.897	74.26	108.16	0
t_n937	86.692	65.98	103.77	0
t_n938	79.01	56.34	98.73	0
t_n939	68.165	40.34	92.16	0
t_n940	57.416	24.64	83.33	0
t_n941	46.197	13.52	74.6	0
t_n942	26.694	1.15	61.06	0
t_n943	26.704	1.16	60.77	0
t_n944	62.707	26.48	90.33	0
t_n945	45.937	9.48	78.34	0
t_n946	26.645	0.98	63.61	0
t_n947	68.146	31.07	95.78	0
t_n948	49.547	10.68	83.24	0
t_n949	28.641	1.12	67.18	0
t_n950	72.391	34.2	99.28	0
t_n951	52.444	11.58	88.04	0
t_n952	30.26	1.22	69.45	0
t_n953	80.225	46.36	104.03	0
t_n954	63.451	24.07	95.08	0
t_n955	46.246	9.12	81.63	0
t_n956	26.627	0.96	65.18	0
t_n957	56.086	3.96	101.8	0
t_n958_Adoxaceae	93.922	79	108.55	B(0.78,1.1,1e-300,1e-300)
t_n959	72.936	34.64	100.51	0
t_n960	52.824	11.86	89.2	0
t_n961	30.454	1.2	69.95	0
t_n962	76.287	23.09	112.35	0
t_n963	42.908	2.23	93.5	0
t_n964_Apiales	110.278	98.78	120.77	B(0.96,1.59,1e-300,1e-300)
t_n965_Torricelliaceae	104.767	92.88	116.77	B(0.61,1.69,1e-300,1e-300)
t_n966	99.235	87.2	111.65	0
t_n967	94.274	82.88	105.67	0
t_n968_Araliaceae	88.69	79.25	93.82	B(0.73,0.94,1e-300,1e-300)
t_n969	84.372	75.33	92.67	0
t_n970_Apiaceae	80.083	73.33	90.16	B(0.73,1.28,1e-300,1e-300)
t_n971	72.224	54.22	85.81	0
t_n972	65.115	43.31	81.65	0
t_n973	56.905	29.51	76.64	0
t_n974	48.172	18.79	69.4	0
t_n975	38.828	10.34	64.57	0
t_n976	22.307	0.88	52.92	0
t_n977	22.365	0.89	52.7	0
t_n978	37.781	2.23	69.86	0
t_n979	45.413	3.02	80.28	0
t_n980	47.711	3.22	84.08	0
t_n981	80.571	61.51	92.29	0
t_n982	73.056	51.47	89.22	0
t_n983	64.803	39.57	83.92	0
t_n984	56.573	27.28	78.83	0
t_n985	41.543	8.84	68.59	0
t_n986	24.02	0.86	57.25	0
t_n987	41.623	9.04	68.74	0
t_n988	23.989	0.88	57.15	0
t_n989	42.123	2.7	78.43	0
t_n990_Pittosporaceae	61.13	43.62	92.66	B(0.43,1.11,1e-300,1e-300)
t_n991	72.677	22.55	106.4	0
t_n992	41.066	2.04	89.45	0
t_n993	87.911	42.29	118.63	0
t_n994	48.904	2.92	99.61	0
