iteration	posterior	likelihood	prior	Nobs	Nfossils	root_obs	ext_obs	DA_counts	root_est	ext_est	q_est		a_est	sig2_est
0	-155.48531213051476	-146.83167639926015	-8.653635731254607	24700	7.0	50.0	2.5	1000	60.58977821944095	0.0	0.0007249216016233225	0.0	12.48674735011702
100	-38.708791162131206	-29.017202824248507	-9.6915883378827	24700	7.0	50.0	2.5	1000	56.126621174402885	0.0	0.0001345429217904705	0.05018318721045689	13.080710787898754
200	-31.250469237876686	-22.040341875913278	-9.210127361963409	24700	7.0	50.0	2.5	1000	64.76242082827602	0.0	7.312536294560115e-05	0.17324927626405748	12.752261633697566
300	-27.04351391162998	-17.156522039239505	-9.886991872390475	24700	7.0	50.0	2.5	1000	53.48252068127592	0.0	5.197699403204756e-05	0.32686870730905065	13.129758776609076
400	-27.23650664438479	-14.490420070922992	-12.746086573461795	24700	7.0	50.0	2.5	1000	59.018455701705435	0.0	2.383940514477014e-05	0.49408317223271986	13.98967311500695
500	-25.135534401023698	-14.324872856829145	-10.810661544194554	24700	7.0	50.0	2.5	1000	58.38398040939116	0.0	8.461734668276102e-06	2.7166191768930643	13.431507404039976
600	-25.14700835944636	-14.864958758149362	-10.282049601297	24700	7.0	50.0	2.5	1000	54.86775606333207	0.0	2.002674483857965e-05	0.39914960229160845	13.266572509685927
700	-23.93350529507878	-14.41956053181833	-9.51394476326045	24700	7.0	50.0	2.5	1000	64.40272941994381	0.0	1.3320995877935623e-05	0.8947041038472148	12.838800034458663
800	-24.72469226370927	-15.081967533491033	-9.642724730218236	24700	7.0	50.0	2.5	1000	79.24027667778759	0.0	1.6818831040805247e-05	0.38445980503723476	12.93693651404777
900	-25.40958546639363	-16.497160248948454	-8.912425217445174	24700	7.0	50.0	2.5	1000	88.58723589421888	0.0	2.5604566700552547e-05	0.009452312545366826	12.4142878101427
1000	-24.605110250223845	-14.61251246356862	-9.992597786655226	24700	7.0	50.0	2.5	1000	75.04921595302697	0.0	1.1587327530457513e-05	1.2121181334972413	13.10327742444372
1100	-24.058285493095823	-14.428626984673334	-9.629658508422487	24700	7.0	50.0	2.5	1000	64.26874233190401	0.0	1.141569592106322e-05	2.1715625627092017	12.894617087199665
1200	-24.26526879263777	-14.977324825163766	-9.287943967474002	24700	7.0	50.0	2.5	1000	69.19086093199391	0.0	9.193256686394357e-06	0.8647719201727424	12.649603781092804
1300	-23.596248041310222	-14.590893688059676	-9.005354353250546	24700	7.0	50.0	2.5	1000	60.01340956653587	0.0	1.968850331146119e-05	0.07911449257929315	12.478345119484352
1400	-28.893912777512817	-14.973016420222367	-13.920896357290449	24700	7.0	50.0	2.5	1000	52.74769219843798	0.0	3.554783837808973e-05	0.18780796712853576	14.214990646509836
1500	-28.65759038771862	-14.706798371392924	-13.950792016325696	24700	7.0	50.0	2.5	1000	61.386328261170995	0.0	1.9234505514383987e-05	0.010120511371823127	14.210053800180491
1600	-25.75683241191669	-14.4781716812674	-11.278660730649293	24700	7.0	50.0	2.5	1000	60.862396368230726	0.0	9.906549304707251e-06	2.7388220499857305	13.593071301917718
1700	-26.137184368544247	-15.536920831938378	-10.600263536605869	24700	7.0	50.0	2.5	1000	60.91663003329686	0.0	1.1966854719450525e-05	0.15918029686113938	13.375512491753806
1800	-25.184472225098123	-15.242928357122846	-9.941543867975277	24700	7.0	50.0	2.5	1000	74.81139378142925	0.0	1.8391059672877043e-05	1.0129497679337058	13.101829374917115
1900	-24.69512012567312	-14.648452110780703	-10.046668014892417	24700	7.0	50.0	2.5	1000	75.49508947242947	0.0	1.1748361718144203e-05	1.2932832552124305	13.130417351742112
2000	-25.18863618062978	-15.230993306388946	-9.957642874240832	24700	7.0	50.0	2.5	1000	66.39777742208318	0.0	1.944812742324183e-05	1.3833002978562314	13.110856440420722
2100	-23.33611437957839	-14.40734841684399	-8.9287659627344	24700	7.0	50.0	2.5	1000	68.62981250406318	0.0	1.3180502209185671e-05	1.481089412940071	12.347130786079113
2200	-23.02690035324585	-14.405466607196807	-8.621433746049043	24700	7.0	50.0	2.5	1000	82.9122010336861	0.0	6.216385315184528e-06	1.928268611331304	11.81096246251381
2300	-25.509846917200463	-16.68839176297176	-8.821455154228701	24700	7.0	50.0	2.5	1000	114.86295850338696	0.0	6.699338646916549e-06	0.451623003729673	12.152786342728556
2400	-24.032491437675198	-15.010045220967902	-9.022446216707296	24700	7.0	50.0	2.5	1000	58.796781577159	0.0	8.659599005428388e-06	1.4682780889240372	12.401204992342613
2500	-23.05957682043706	-14.280957452573034	-8.778619367864025	24700	7.0	50.0	2.5	1000	63.50057445124291	0.0	6.587124271212653e-06	2.406144953269707	12.065639743247505
2600	-24.116897030775142	-15.398427748589283	-8.71846928218586	24700	7.0	50.0	2.5	1000	73.45796608869934	0.0	5.802448036804763e-06	1.2594349277361765	11.974386567693108
2700	-24.761721827355533	-15.601894958430734	-9.1598268689248	24700	7.0	50.0	2.5	1000	104.4643853237031	0.0	7.889868093845451e-06	1.169967351219341	12.526216251132567
2800	-23.472455297818687	-15.032812727697419	-8.439642570121269	24700	7.0	50.0	2.5	1000	85.79179883610982	0.0	6.132480404184223e-06	1.202200236285973	11.421648602637584
2900	-24.072026094816337	-15.186093538659563	-8.885932556156774	24700	7.0	50.0	2.5	1000	79.3535659473393	0.0	1.1095830966160428e-05	0.4303844216817505	12.292533076446546
3000	-23.40753243232426	-15.20550071214467	-8.202031720179592	24700	7.0	50.0	2.5	1000	77.31131455608282	0.0	9.444972711059977e-06	0.5860531930920498	10.709409680276405
3100	-23.044139169709545	-14.857390205262101	-8.186748964447446	24700	7.0	50.0	2.5	1000	76.16500183447494	0.0	9.311240070756666e-06	0.8348011097776749	10.597478232783507
3200	-23.34525877282867	-15.089730142556505	-8.255528630272167	24700	7.0	50.0	2.5	1000	68.90601562662562	0.0	7.578892970748099e-06	1.1114873337569804	10.844563043137683
3300	-24.190165814155037	-15.916841374633975	-8.273324439521062	24700	7.0	50.0	2.5	1000	52.970335949410355	0.0	3.0298683411056292e-05	0.9897328957388098	11.409486613423036
