Mean_time	Mean_qlow	Mean_qup	Priors
t_n785_Clusiaceae	97.003	96.03	99.35	B(0.96,1.62,1e-300,1e-300)
t_n786	48.262	26.22	69.1	0
t_n787	28.835	14.66	53.99	0
t_n788	58.977	35.44	81.07	0
t_n789	86.349	49.78	105.21	0
t_n790	20.125	6.72	38.34	0
t_n791_Humiriaceae	74.178	54.43	86.62	B(0.4,0.87,1e-300,1e-300)
t_n792	41.633	21.93	63.24	0
t_n793	18.828	6.23	32.09	0
t_n794	29.386	17.13	54.01	0
t_n795	20.245	9.91	34.76	0
t_n796_Oxalidales	111.477	104.47	116.69	B(0.88,1.18,1e-300,1e-300)
t_n797	97.873	90.63	104.97	0
t_n798	91.848	86.08	100.08	0
t_n799_Cunoniaceae	88.143	85.09	95.4	B(0.85,1.47,1e-300,1e-300)
t_n800_Elaeocarpaceae	83.081	72.87	92.43	B(0.71,1.05,1e-300,1e-300)
t_n801	77.816	53.04	90.26	0
t_n802	57.375	23.02	80.74	0
t_n803	29.531	3.33	70.12	0
t_n804	59.775	42.02	79.65	0
t_n805	50.005	29.06	69.99	0
t_n806	30.434	14.28	56.88	0
t_n807	28.401	16.09	51.08	0
t_n808	24.983	14.11	50.15	0
t_n809_Celastraceae	106.037	103.1	111.46	B(1.03,1.64,1e-300,1e-300)
t_n810	82.872	65.34	97.61	0
t_n811	52.893	39	66.96	0
t_n812	41.094	27.54	56.04	0
t_n813	32.372	21.93	49.59	0
t_n814	29.372	19.86	46.77	0
t_n815	25.579	16.31	43.91	0
t_n816	19.367	10.39	30.05	0
t_n817	35.218	22.32	50.83	0
t_n818	23.184	14.82	38.88	0
t_n819	45.216	30.51	60.19	0
t_n820	28.978	17.75	46.36	0
t_n821	30.511	15.47	61.82	0
t_n822	117.444	114.1	120.33	0
t_n823	115.872	112.46	119.11	0
t_n824	113.637	109.86	117.41	0
t_n825_Fagales	106.468	103.03	109.65	B(1,1.1,1e-300,1e-300)
t_n826_Fagaceae	101.184	100.03	103.97	B(1,1.3,1e-300,1e-300)
t_n827	73.537	48.43	94.67	0
t_n828	52.385	24.15	79.02	0
t_n829	49.482	21.58	77.68	0
t_n830	70.26	44.64	91.8	0
t_n831	15.538	5.1	26.28	0
t_n832_Cucurbitales	80.265	64.56	91.55	B(0.54,0.92,1e-300,1e-300)
t_n833	71.8	59.65	86.57	0
t_n834_Cucurbitaceae	67.555	56.88	83.03	B(0.56,1.05,1e-300,1e-300)
t_n835	55.11	40.07	72.54	0
t_n836	38.551	19.92	58.42	0
t_n837_Rosales	107.198	103.29	112.19	B(1.03,1.22,1e-300,1e-300)
t_n838	98.922	92.37	104.52	0
t_n839	91.404	83.79	98.54	0
t_n840	83.165	76.93	90.75	0
t_n841_Urticaceae	72.406	59.38	84.43	B(0.55,0.87,1e-300,1e-300)
t_n842	56.35	39.13	73.66	0
t_n843_Cannabaceae	74.606	72.07	80.77	B(0.72,1,1e-300,1e-300)
t_n844_Rhamnaceae	92.74	80.87	98.7	B(0.77,0.99,1e-300,1e-300)
t_n845	66.847	38.62	88.96	0
t_n846	52.174	23.32	81.8	0
t_n847_Fabales	103.294	100.1	109.97	B(1,1.42,1e-300,1e-300)
t_n848_Fabaceae	90.709	82.25	93.91	B(0.7,0.94,1e-300,1e-300)
t_n849	78.869	66.42	87.91	0
t_n850	59.019	46.2	71.89	0
t_n851	50.473	37.85	63.83	0
t_n852	33.23	22.03	48.65	0
t_n853	24.158	15.88	39.18	0
t_n854	85.104	67.71	93.02	0
t_n855	73.709	45.52	100.77	0
t_n856	120.303	116.91	122.96	0
t_n857	117.48	113.43	120.81	0
t_n858	116.193	111.7	119.95	0
t_n859	111.099	106.65	115.35	0
t_n860	108.613	103.48	113.45	0
t_n861	102.602	97.12	108.61	0
t_n862_Brassicales	89.764	77.91	99.41	B(0.64,1.07,1e-300,1e-300)
t_n863	87.169	75.02	97.42	0
t_n864	78.583	65.65	90.05	0
t_n865	70.59	57.74	82.93	0
t_n866	62.028	49.36	75.24	0
t_n867	46.658	33.93	59.67	0
t_n868	20.601	12.86	29.9	0
t_n869_Malvales	90.31	88.06	95.59	B(0.88,1.25,1e-300,1e-300)
t_n870	77.774	61.6	88.47	0
t_n871	49.979	29.18	67.08	0
t_n872_Malvaceae	80.18	71.74	83.89	B(0.7,0.84,1e-300,1e-300)
t_n873	38.993	18.22	63.66	0
t_n874	57.882	22.91	95.38	0
t_n875_Sapindales	101.728	100.05	105.55	B(1,1.18,1e-300,1e-300)
t_n876	92.909	70.56	101.39	0
